"Extension:","Модуль:"
"Unable to find a Xml file to delete.","Невозможно найти Xml файл для удаления."
"Please select file(s).","Пожалуйста, выберите файлы."
"Extension not active.","Модуль не активен."

"If Enabled - xml file will be automatically generated at every chosen moment.","Если Включено - xml файлы будут автоматически создаваться в указанное время."
"Every day at this time xml file generation will be started.","Каждый день в это время будет запускаться создание xml файлов."
"Auto generation settings","Настройки автогенерации файлов"
"Start Time","Время запуска"
"Additional Start Time","Дополнительное время запуска"
"Add additional start time","Добавить дополнительное время запуска"
"Remove","Удалить"
"Additional start time:","Дополнительное время запуска:"
"On this time will start xml file generation process.","В это время будет запускаться процесс генерации xml файлов."

"Yes","Да"
"No","Нет"

"Current server time","Текущее время на сервере"
"Error Email Recipient","Письмо об ошибке. Получатель"
"Error Email Sender","Письмо об ошибке. Отправитель"
"Error Email Template","Письмо об ошибке. Шаблон"

"Yandex Market Feed","Яндекс.Маркет YML"
"Manage Files","Управление файлами"
"Global settings","Настройки модуля"

"Debug mode","Режим отладки"
"If Enabled - technical information records into a log file /var/log/et_yandexmarketfeed_requests.log","Если включено, то техническая информация будет записываться в файл /var/log/et_yandexmarketfeed_requests.log"

"Category selection algorithm","Алгоритм выбора категории"
"Categories options","Настройки категорий"
"Default", "По умолчанию"
"Get product from newest category","Брать товары из новейших категорий"
"Get product from deepest category","Брать товары из глубочайших категорий"
"Export Currency","Экспортировать цены в валюте"
"YML Transfer Settings","Настройки передачи yml файла"
"Use Authentication to Access YML files","Использовать авторизацию для доступа к yml файлам"
"If enabled, access to yml files will only be available using a login and password specified next.","Если авторизация включена, то доступ к файлам можно будет получить только зная Логин и Пароль, указанные в полях ниже."
"Login","Логин"
"Password","Пароль"
"Use GNU ZIP compression","Использовать сжатие GNU ZIP"
"YMLs will be compressed to a lesser size. May not work on some servers.","Файл будет сжат до меньшего размера. Может не работать на некоторых серверах."
"Request log","Журнал обращений"
"Exported product's minimum prices","Минимальная цена экспортируемых товаров"
"Yandex.Market does not accept prices with zero prices.<br>By default: 0.01<br>If the value is invalid or empty, then this filter will be ignored.","Яндекс маркет не принимает товары с нулевой ценой.<br>По умолчанию: 0.01<br>Если значение неправильное или пустое, то фильтр не будет применён."
"Exported product's minimum stock","Минимальное кол-во экспортируемых товаров на складе"
"Only products with stock that equals to or that is greater than the specified amount will get exported.","В файл попадут только те товары, остаток которых больше или равен указанному количеству."
"Prices that are out of stock will be displayed on Yandex.Market with the Custom status. <br> <a href=""https://yandex.com/support/partnermarket/offers.html"" target=""_blank"">More info on Yandex</a>","Товары, которых нет в наличии будут отмечены на сайте Яндекс Маркет как доступные под заказ. <br> <a href=""https://yandex.ru/support/partnermarket/offers.html"" target=""_blank"">Больше информации на Яндексе</a>"

"Product Description Element Settings","Настройка элементов, входящих в описание товара"
"The extension creates an xml file of the specified format.<br> Your store's product data is used to fill the required fields in this file. In this section you will be able to specify the attributes whose values will be used as the exported data.<br> More about description on <a href=""https://yandex.com/support/partnermarket/offers.html"" target=""_blank"">Yandex</a>.<br> You can specify one or more attributes, separated with a comma. In the case of multiple attributes, xml values will be separated with spaces. <br> Elements marked with an asterisk are required fields – without them the file won't pass validation on Yandex.","Модуль создаёт xml файл требуемого формата.<br> Необходимые поля в файле заполняются данными из вашего магазина. В данном разделе вы можете указать из каких атрибутов товара брать данные для экспорта.<br> Подробнее об элементах, входящих в описание товара, <a href=""https://yandex.ru/support/partnermarket/offers.html"" target=""_blank"">в документации Яндекса.</a><br> Можно указывать один или несколько атрибутов, разделённых запятой. Если указано несколько атрибутов, значения в xml будут разделятся пробелом. <br> Символом * отмечены элементы, обязательные для заполнения. Без обязательных элементов, yml файл не пройдёт валидацию в Яндексе."
"Elements used in the Simplified offer description","Элементы используемые для Упрощенного описания товара"
"&lt;name&gt; element.<br>By default: name. <br> The product offer's name. <br> <a href=""https://yandex.com/support/partnermarket/elements/vendor-name-model.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;name&gt;.<br>По умолчанию: name. <br> Название товарного предложения. <br> <a href=""https://yandex.ru/support/partnermarket/elements/vendor-name-model.html"" target=""_blank"">Больше информации на Яндексе</a>"
"&lt;vendor&gt; element.<br> The product's manufacturer. <br> <a href=""https://yandex.com/support/partnermarket/offers.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;vendor&gt;.<br> Производитель товара. <br> <a href=""https://yandex.ru/support/partnermarket/offers.html"" target=""_blank"">Больше информации в Яндексе</a>"
"&lt;model&gt; element. <br> By default: model<br> The offer's model.","Элемент &lt;model&gt;. <br> По умолчанию: model.<br> Модель товарного предложения."
"&lt;vendorCode&gt; element.<br> Product code (assigned by the manufacturer).","Элемент &lt;vendorCode&gt;.<br> Код товара (указывается код производителя)."
"&lt;description&gt; element.<br> The offer's description. <br> <a href=""https://yandex.com/support/partnermarket/elements/description.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;description&gt;.<br> Описание товарного предложения. <br> <a href=""https://yandex.ru/support/partnermarket/elements/description.html"" target=""_blank"">Больше информации в Яндексе</a>"
"&lt;pickup&gt; element.<br> Pickup ability. <br> <a href=""https://yandex.com/support/partnermarket/delivery.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;pickup&gt;.<br> Возможность самовывоза. <br> <a href=""https://yandex.ru/support/partnermarket/delivery.html"" target=""_blank"">Больше информации в Яндексе</a>"
"&lt;delivery&gt; element.<br> Delivery ability. <br> <a href=""https://yandex.com/support/partnermarket/delivery.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;delivery&gt;.<br> Возможность доставки. <br> <a href=""https://yandex.ru/support/partnermarket/delivery.html"" target=""_blank"">Больше информации в Яндексе</a>"
"&lt;local_delivery_cost&gt; element.<br> Shipping cost in the seller's region.","Элемент &lt;local_delivery_cost&gt;.<br> Стоимость доставки данного товара в своем регионе."
"&lt;manufacturer_warranty&gt; element.<br> Meant to specify the products that have official manufacturer warranty.","Элемент &lt;manufacturer_warranty&gt;.<br> Элемент предназначен для отметки товаров, имеющих официальную гарантию производителя."
"&lt;country_of_origin&gt; element.<br> Country of origin.","Элемент &lt;country_of_origin&gt;.<br> Страна производства товара."
"&lt;barcode&gt; element.<br> The manufacturer specified barcode. <br> <a href=""https://yandex.com/support/partnermarket/barcode.html"" target=""_blank"">More info on Yandex</a>","Элемент &lt;barcode&gt;.<br> Штрихкод товара, указанный производителем. <br> <a href=""https://yandex.ru/support/partnermarket/barcode.html"" target=""_blank"">Больше информации в Яндексе</a>"

"Additional Parameters","Дополнительные параметры"
"Elements used in the vendor.model offer description","Элементы используемые для Произвольного описания товара (vendor.model)"
"&lt;typePrefix&gt; element.<br> Specifies a product group or category.","Элемент &lt;typePrefix&gt;.<br> Указание группы товаров или категории."
"&lt;weight&gt; element.<br> The products weight.","Элемент &lt;weight&gt;.<br> Указания веса товара."
"&lt;seller_warranty&gt; element.<br> Meant to specify the products that have seller provided warranty.","Элемент &lt;seller_warranty&gt;.<br> Элемент предназначен для отметки товаров, имеющих гарантию продавца."
"&lt;dimensions&gt;.<br> element.<br> Specifies the products dimension.","Элемент &lt;dimensions&gt;.<br> Габариты товара."

"Requesting...","Запрос..."
"Writing Products","Экспорт товаров"

"Base Currency","Основная валюта"
"Default Offer type","Тип описания по умолчанию"

"YML links are available in %s -> %s -> <a href=""%s"" target=""_blank"">%s</a>.","Ссылки на YML файлы доступны в разделе %s -> %s -> <a href=""%s"" target=""_blank"">%s</a>."
"For testing purposes you can <a href=""%s"">create a file</a> for your default store view.","Для тестирования вы можете <a href=""%s"">создать файл</a> для представления магазина по умолчанию."
"Which currency will be with rate=""1"". Yandex accept only tis currencies: RUB, BYR, UAH, KZT","Основная валюта, значение которой берётся за единицу. Яндекс принимает только следующие валюты: RUB, BYR, UAH, KZT"
"If Enabled - technical information records into a log file /var/log/et_yandexmarketfeed.log","Если включено, техническая информация будет записываться в лог-файл /var/log/et_yandexmarketfeed.log"

"If the extension is disabled then the YML files become unavailable to 3rd party resources and their data doesn't get updated.","Если модуль выключен, то YML файлы не доступны сторонним ресурсам и данные в файлах перестают обновляться."
"By default the shipping cost is not specified, which means no available delivery options. Accepts integers. Example: 300 or 500. <br> <a href=""https://yandex.com/support/partnermarket/local-delivery-cost.html"" target=""_blank"">More info on Yandex</a>","По умолчанию стоимость доставки не указывается, что означает отсутствие доставки. Вводите целые числа. Пример: 300 или 500. <br> <a href=""https://yandex.ru/support/partnermarket/local-delivery-cost.html"" target=""_blank"">Больше информации в Яндексе</a>"
"How exactly these products will get marked on Yandex.Market depends solely on Yandex.Market. This parameter marks according items in the xml file and does not affect your site's order process.","Как именно будут отмечены на сайте Яндекс Маркет подходящие под данное правило товары зависит только от Яндекс Маркет. Данный параметр отмечает подходящие товары в xml файле и никак не влияет на процесс заказа на вашем сайте."
