"Extension:","Модуль:"
"Packomat management is available in Sales -> Omniva Delivery -> Manage Pacomats","Управление пакоматами доступно в Продажи -> Omniva Delivery -> Управление Пакоматами"


"Go to Omniva Courier: Manage Costs","Перейти к упровлению ценами"
"Go to Omniva Courier: Manage Indexes/Zones","Перейти к упровлению индексами/зонами"
"Cost management is available in Sales -> Omniva Delivery -> Manage Costs","Управление ценами доступно в Продажи -> Omniva Delivery -> Управление Ценами"
"Index/zone management is available in Sales -> Omniva Delivery -> Manage Indexes/Zones","Управление индеками/зонами доступно в Продажи -> Omniva Delivery -> Управление Индеками/Зонами"


"Affects the displayed packomats on the checkout.","Влияет на выбор пакоматов при оформлении заказа."
"Maximum order weight available for delivery via Omniva Packomats.","Максимальный вес упаковки, при котором доступен метод доставки омнива пакоматы"
"Maximum order weight available for delivery via Omniva Courier.","Максимальный вес упаковки, при котором доступен метод доставки омнива курьеры"
"Select from a list of all packomats","Выбрать из всего списка пакоматов"
"Select a packomat based on the specified shipment address","Выбрать исходя из адресса доставки"
"Select country, city, and packomat","Выбрать страну, город, и пакомат"
"Enables automatic shipment data transfer to Omniva after shipment confirmation. Eliminates the need to fill this information manually.","Включает автоматическую передачу данных о доставке в Omniva при подтверждении отправки. Избавляет от необходимости заполнения этой информации вручную"
"Omniva Packomat: Add packomat","Omniva Packomat: Добавить пакомат"
"Omniva Packomat: Edit %s packomat","Omniva Packomat: Редактировать пакомат %s"
"Omniva Courier: Add zone/index","Omniva Courier: Добавить зону/индекс"
"Omniva Courier: Upload Zones/Indexes","Omniva Courier: Загрузить зоны/индексы"
"Omniva Courier: Edit ""%s"" zone/index for ""%s""","Omniva Courier: Редактировать зону/индекс для страны ""%s"" с индексом ""%s"""
"Omniva Courier: Add prices","Omniva Courier: Добавить цены"
"Omniva courier: Upload Weight/Zone costs","Omniva Courier: Загрузить цены"
"Omniva Courier: Edit prices for country ""%s"" and weight ""%s"" kg","Omniva Courier: Редактировать цены для страны ""%s"" и веса ""%s"" кг"


"Omniva user ID. The ID is required to send new delivery shipping info.","Идентификатор пользователя на сайте Омнива. Идентификатор необходим для отправки информации о новой доставки."
"Omniva user password. The password is required to send new delivery shipping info.","Пароль пользователя на сайте Омнива. Пароль необходим для отправки информации о новой доставки."
